"","marker","tissue","lag_minus_6","lag_minus_5","lag_minus_4","lag_minus_3","lag_minus_2","lag_minus_1","lag_0","lag_plus_1","lag_plus_2","lag_plus_3","lag_plus_4","lag_plus_5","lag_plus_6"
"74","Olig2","diencephalon","0.167068430976468","0.205368700614993","0.105980959035949","-0.0766010015193701","0.0481838284927846","-0.276079640478974","-0.44329473420114","-0.331475378373957","-0.094201087548565","0.0494557546936554","0.0872796280407487","-0.179517505423098","0.446425225157006"
"75","Olig2","midbrain","0.134048074329633","0.236630429245313","0.311637234342649","0.212738668850822","0.175997377527801","-0.292179794795829","-0.576592530614115","-0.622860452131018","-0.631806178827185","-0.147824093784509","-0.0732779980983567","0.378428420136945","0.622671737013701"
"76","Olig2","hindbrain","0.253101921784197","0.31306493708773","0.188467957090258","0.044521174642251","-0.0672352448771413","-0.463724614209928","-0.769081766345298","-0.454572285111723","-0.187225848508635","-0.000835619967808127","0.125556018137357","0.0969938238335751","0.521139935295998"
"77","p75NTR","telencephalon","-0.251666417188423","-0.0984159526797809","0.376966792395217","0.623703758235953","-0.0231714986027668","0.0623055255166829","0.167898074128294","-0.0925233187311971","-0.244608982458577","-0.181442985108225","0.0700619678934233","0.0432752266644119","-0.0606495835752926"
"78","p75NTR","diencephalon","-0.121557724506853","-0.210176291352631","-0.242630328099472","0.0291039648522906","-0.129013072045516","0.42164114477193","0.823445357255643","0.411351922139487","0.151484781536279","-0.00299383404944505","-0.104801321902534","-0.299410082789549","-0.355869089624712"
"79","p75NTR","midbrain","-0.490657951009374","-0.08891267329817","0.232911482956124","0.189518230284996","0.319792838251893","0.320041322176686","0.587925528378067","0.297908461238365","-0.0290962469321156","-0.297638764656008","-0.15528714346953","-0.100412374672474","-0.127276388609997"
"80","p75NTR","hindbrain","-0.221121813825428","0.16922059575354","0.352731080145533","0.144543248233428","-0.134147850139862","-0.224918773904286","-0.346376474495856","-0.324303648941359","-0.325163678576908","-0.0083330600469934","0.319135124899701","0.237381014709711","0.142722905213175"
"81","Pax6","telencephalon","0.226011801381233","0.382632205166507","0.417052030454388","0.214239045213623","-0.107251163793079","-0.486695722136565","-0.857073573316431","-0.718728103471178","-0.524990094256561","-0.0782833576997194","0.352470592043243","0.411555162128512","0.443059823577535"
"82","Pax6","diencephalon","-0.323362759081892","-0.403864229511008","-0.309594486740774","-0.128051957499765","0.137548609266974","0.434486727356466","0.841590602530518","0.750167339826155","0.421783100636767","0.00874975621490675","-0.176886624399099","-0.296987336396551","-0.422398206426774"
"83","Pax6","midbrain","0.188390439744824","0.0422812938443578","-0.273270327384101","-0.347044143579898","-0.277514988502544","0.351727460231338","0.547747386632101","0.0353930898912792","-0.0954744525919377","-0.187723824260598","-0.184366716339866","0.187890235573377","-0.0392847745995494"
"84","Pax6","hindbrain","-0.149196875492341","-0.247327677661159","-0.345265311209685","-0.325570331882878","-0.00750965699453006","0.310677974030798","0.708295449469502","0.768439117977461","0.527187741385544","-0.00196317183777006","-0.309721580842914","-0.489343579997543","-0.192344657883608"
"85","PDGFRa","telencephalon","0.210265842006192","0.303089590366989","0.273128766618718","0.119568586989447","0.0313880291963548","-0.196067959756979","-0.676896976220482","-0.67370856357409","-0.460743250296938","-0.165037192166426","0.0823508583256868","0.119863293987599","0.471968122591969"
"86","PDGFRa","diencephalon","-0.390895081577031","-0.302098382304813","-0.168666141122963","0.0785891456355328","0.420879431470734","0.660696547048101","0.637697037779666","0.360978496514904","-0.199578147608657","-0.165849295422345","-0.421025822704667","-0.357775517406537","-0.0533317948633823"
"87","PDGFRa","midbrain","-0.0382433982179327","-0.048706349845941","-0.109509830773957","-0.115111154103371","-0.0192770755960866","0.13688344277103","0.11453971605131","0.225872596787141","0.426430423146131","-0.26551745102318","-0.0609696536418444","-0.0799880843301892","-0.158195177807092"
"88","PDGFRa","hindbrain","0.220524077183031","0.121501650966043","-0.175620983404933","-0.414108798891856","-0.472389762167759","-0.281216631832188","-0.030324351174685","0.330475883596388","0.664570009495461","0.516102416670458","0.14529332714132","-0.154671263243573","-0.375904534987011"
"89","PDGFRb","telencephalon","0.231420831262437","0.334337583910629","0.308192708432316","0.0986494336051334","-0.0909115289801478","-0.608570922484116","-0.805760117575927","-0.636688408968574","-0.143978471184634","0.159120808708624","0.429793425739112","0.414220414511518","0.17333876831987"
